TRANSACTIONTYPE;"NUM POLICE

4036";CODE GARANTIE;TYPE GARANTIE
G;000000A41003550;INC;INCENDIE
G;000000A41003550;RC;RESPONSABILITE CIVILE
G;000000A41003550;RTI;RECOURS TIERS INCENDIE
G;000000A41003550;VOL;VOL
G;000000A41004227;ASS;ASS GOLD ET CARGLASS 60
G;000000A41004227;BG;BRIS DE GLACE
G;000000A41004227;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41004227;CP;COUT DE POLICE
G;000000A41004227;DOC;DOMMAGES AVEC COLLISION
G;000000A41004227;INC;INCENDIE
G;000000A41004227;RC;RESPONSABILITE CIVILE
G;000000A41004227;RTI;RECOURS TIERS INCENDIE
G;000000A41004227;VOL;VOL
G;000000A41004495;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41004495;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41004495;CP;COUT DE POLICE
G;000000A41004495;INC;INCENDIE
G;000000A41004495;PIPT;PACKAGE IPT
G;000000A41004495;RC;RESPONSABILITE CIVILE
G;000000A41004495;RTI;RECOURS TIERS INCENDIE
G;000000A41004495;VOL;VOL
G;000000A41004495;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41004495;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41004495;CP;COUT DE POLICE
G;000000A41004495;INC;INCENDIE
G;000000A41004495;PIPT;PACKAGE IPT
G;000000A41004495;RC;RESPONSABILITE CIVILE
G;000000A41004495;RTI;RECOURS TIERS INCENDIE
G;000000A41004495;VOL;VOL
G;000000A41004495;ASS;ASS GOLD ET CARGLASS 60
G;000000A41004495;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41004495;CP;COUT DE POLICE
G;000000A41004495;INC;INCENDIE
G;000000A41004495;RC;RESPONSABILITE CIVILE
G;000000A41004495;RTI;RECOURS TIERS INCENDIE
G;000000A41004495;VOL;VOL
G;000000A41004620;ASS;ASS GOLD ET CARGLASS 60
G;000000A41004620;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41004620;CP;COUT DE POLICE
G;000000A41004620;IAC;INCENDIE ACCESSOIRES
G;000000A41004620;INC;INCENDIE
G;000000A41004620;RC;RESPONSABILITE CIVILE
G;000000A41004620;RTI;RECOURS TIERS INCENDIE
G;000000A41004620;VOL;VOL
G;000000A41005155;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005155;BG;BRIS DE GLACE
G;000000A41005155;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005155;CP;COUT DE POLICE
G;000000A41005155;INC;INCENDIE
G;000000A41005155;RC;RESPONSABILITE CIVILE
G;000000A41005155;RTI;RECOURS TIERS INCENDIE
G;000000A41005155;VOL;VOL
G;000000A41005261;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005261;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005261;CP;COUT DE POLICE
G;000000A41005261;INC;INCENDIE
G;000000A41005261;RC;RESPONSABILITE CIVILE
G;000000A41005261;RTI;RECOURS TIERS INCENDIE
G;000000A41005261;VOL;VOL
G;000000A41005519;AAA;PRISE EN CHARGE
G;000000A41005519;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005519;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005519;CP;COUT DE POLICE
G;000000A41005519;RC;RESPONSABILITE CIVILE
G;000000A41005519;RTI;RECOURS TIERS INCENDIE
G;000000A41005519;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;PIPT;PACKAGE IPT
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;PIPT;PACKAGE IPT
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;PIPT;PACKAGE IPT
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;PIPT;PACKAGE IPT
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005609;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41005609;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005609;CP;COUT DE POLICE
G;000000A41005609;INC;INCENDIE
G;000000A41005609;RC;RESPONSABILITE CIVILE
G;000000A41005609;RTI;RECOURS TIERS INCENDIE
G;000000A41005609;VOL;VOL
G;000000A41005869;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005869;CP;COUT DE POLICE
G;000000A41005869;RC;RESPONSABILITE CIVILE
G;000000A41005869;RTI;RECOURS TIERS INCENDIE
G;000000A41005869;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005869;CP;COUT DE POLICE
G;000000A41005869;RC;RESPONSABILITE CIVILE
G;000000A41005869;RTI;RECOURS TIERS INCENDIE
G;000000A41005869;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005869;CP;COUT DE POLICE
G;000000A41005869;RC;RESPONSABILITE CIVILE
G;000000A41005869;RTI;RECOURS TIERS INCENDIE
G;000000A41005869;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005869;CP;COUT DE POLICE
G;000000A41005869;RC;RESPONSABILITE CIVILE
G;000000A41005869;RTI;RECOURS TIERS INCENDIE
G;000000A41005869;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005869;CP;COUT DE POLICE
G;000000A41005869;RC;RESPONSABILITE CIVILE
G;000000A41005869;RTI;RECOURS TIERS INCENDIE
G;000000A41005962;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41005962;BG;BRIS DE GLACE
G;000000A41005962;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005962;CP;COUT DE POLICE
G;000000A41005962;DOC;DOMMAGES AVEC COLLISION
G;000000A41005962;INC;INCENDIE
G;000000A41005962;PIPT;PACKAGE IPT
G;000000A41005962;RC;RESPONSABILITE CIVILE
G;000000A41005962;RTI;RECOURS TIERS INCENDIE
G;000000A41005962;VOL;VOL
G;000000A41005962;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41005962;BG;BRIS DE GLACE
G;000000A41005962;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41005962;CP;COUT DE POLICE
G;000000A41005962;DOC;DOMMAGES AVEC COLLISION
G;000000A41005962;INC;INCENDIE
G;000000A41005962;PIPT;PACKAGE IPT
G;000000A41005962;RC;RESPONSABILITE CIVILE
G;000000A41005962;RTI;RECOURS TIERS INCENDIE
G;000000A41005962;VOL;VOL
G;000000A41006098;AAA;PRISE EN CHARGE
G;000000A41006098;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41006098;BG;BRIS DE GLACE
G;000000A41006098;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006098;CP;COUT DE POLICE
G;000000A41006098;DOC;DOMMAGES AVEC COLLISION
G;000000A41006098;INC;INCENDIE
G;000000A41006098;PIPT;PACKAGE IPT
G;000000A41006098;RC;RESPONSABILITE CIVILE
G;000000A41006098;RTI;RECOURS TIERS INCENDIE
G;000000A41006098;VOL;VOL
G;000000A41006284;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41006284;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006284;CP;COUT DE POLICE
G;000000A41006284;INC;INCENDIE
G;000000A41006284;RC;RESPONSABILITE CIVILE
G;000000A41006284;RTI;RECOURS TIERS INCENDIE
G;000000A41006284;VOL;VOL
G;000000A41006325;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006325;CP;COUT DE POLICE
G;000000A41006325;INC;INCENDIE
G;000000A41006325;RC;RESPONSABILITE CIVILE
G;000000A41006325;RTI;RECOURS TIERS INCENDIE
G;000000A41006325;VOL;VOL
G;000000A41006325;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006325;CP;COUT DE POLICE
G;000000A41006325;INC;INCENDIE
G;000000A41006325;RC;RESPONSABILITE CIVILE
G;000000A41006325;RTI;RECOURS TIERS INCENDIE
G;000000A41006325;VOL;VOL
G;000000A41006325;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006325;CP;COUT DE POLICE
G;000000A41006325;INC;INCENDIE
G;000000A41006325;RC;RESPONSABILITE CIVILE
G;000000A41006325;RTI;RECOURS TIERS INCENDIE
G;000000A41006325;VOL;VOL
G;000000A41006339;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41006339;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006339;CP;COUT DE POLICE
G;000000A41006339;DOC;DOMMAGES AVEC COLLISION
G;000000A41006339;INC;INCENDIE
G;000000A41006339;RC;RESPONSABILITE CIVILE
G;000000A41006339;RTI;RECOURS TIERS INCENDIE
G;000000A41006339;VOL;VOL
G;000000A41006545;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41006545;BG;BRIS DE GLACE
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;INC;INCENDIE
G;000000A41006545;PIPT;PACKAGE IPT
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41006545;BG;BRIS DE GLACE
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;INC;INCENDIE
G;000000A41006545;PIPT;PACKAGE IPT
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41006545;BG;BRIS DE GLACE
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;INC;INCENDIE
G;000000A41006545;PIPT;PACKAGE IPT
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41006545;BG;BRIS DE GLACE
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;INC;INCENDIE
G;000000A41006545;PIPT;PACKAGE IPT
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41006545;BG;BRIS DE GLACE
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;INC;INCENDIE
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41006545;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41006545;CP;COUT DE POLICE
G;000000A41006545;RC;RESPONSABILITE CIVILE
G;000000A41006545;RTI;RECOURS TIERS INCENDIE
G;000000A41006545;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;AAA;PRISE EN CHARGE
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000A41009997;EXI;EXTENSION INCENDIE
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;AAA;PRISE EN CHARGE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41009997;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41009997;BG;BRIS DE GLACE
G;000000A41009997;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41009997;CP;COUT DE POLICE
G;000000A41009997;DOC;DOMMAGES AVEC COLLISION
G;000000A41009997;INC;INCENDIE
G;000000A41009997;RC;RESPONSABILITE CIVILE
G;000000A41009997;RTI;RECOURS TIERS INCENDIE
G;000000A41009997;VOL;VOL
G;000000A41010095;ASS;ASS GOLD ET CARGLASS 60
G;000000A41010095;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41010095;CP;COUT DE POLICE
G;000000A41010095;INC;INCENDIE
G;000000A41010095;RC;RESPONSABILITE CIVILE
G;000000A41010095;RTI;RECOURS TIERS INCENDIE
